질문번호,질문,프롬프트유형,프롬프트,답변,답변길이,응답시간(s),근거포함(자동)
3,나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까,basic,나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까,"미납퇴직금은 다음과 같은 방식으로 계산할 수 있습니다.

1. 미납퇴직금 계산 방식:
미납퇴직금은 아래의 항목들을 고려하여 계산됩니다.
- 퇴직 시 받아야 할 임금과 급여
- 퇴직금 관련 서류 및 계약서 내용
- 근로자의 연간 임금 총액
- 가입자의 추가로 부담한 부담금

2. 미납퇴직금이 있는 경우 회사에게 받는 방식:
미납퇴직금이 발생한 경우, 회사에게 받는 방식은 다음과 같이 결정될 수 있습니다.
- 회사의 규정에 따라 납부 방법 및 기간을 확인하고 회사에 직접 연락하여 상환 계획을 협의할 수 있습니다.
- 회사는 미납퇴직금에 대한 이자를 부과할 수 있으며, 이에 대해서도 협의하여 상환 계획을 수립할 수 있습니다.
- 회사의 지침에 따라 미납퇴직금을 상환하는 것이 중요하며, 부담금의 미납사실과 연장된 납부기한 등은 정확히 파악하여 이행해야 합니다.",426,9.0,N
3,나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까,role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까","미납퇴직금은 사용자가 퇴직할 때 받아야 할 금액 중 일부를 미처 회사에게 납부하지 않은 경우 해당됩니다. 미납퇴직금은 다음과 같은 방식으로 계산할 수 있습니다:

1. 미납퇴직금 계산 방법:
미납퇴직금 = 퇴직급여 - 이미 받은 퇴직급여

미납퇴직금액은 퇴직급여에서 이미 받은 퇴직급여를 차감한 금액으로 계산됩니다.

2. 회사에게 미납퇴직금을 받는 방법:
- 회사와 상의하여 납부 방법 및 기한을 협의합니다. 
- 보통 납부 방법은 일시불로 한 번에 전액을 납부하는 방식이지만, 회사와 협의에 따라 분할 납부 혹은 기한 조정이 가능합니다.
- 미납금액이 크고 회사가 납부를 요구할 경우, 협의하여 대출 등의 방법으로 부담이 가능할 수 있습니다. 

미납퇴직금은 회사와의 협의를 통해 원활한 처리가 이뤄져야 합니다. 미납금액이 크거나 복잡한 경우에는 법률적인 상담을 받는 것도 도움이 될 수 있습니다.",448,8.78,N
3,나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까,fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까
A:","미납퇴직금은 근로자가 퇴직 시 받아야 할 금액 중 일부를 지급하지 않은 경우를 말합니다. 미납퇴직금은 일반적으로 근로계약이 종료되었을 때 기준으로 계산됩니다. 미납퇴직금은 근로자의 최종 근무기간과 급여 수준 등에 따라 다양하게 계산될 수 있습니다.

미납퇴직금이 있는 경우, 미납된 금액은 회사에게 청구하여 받아야 합니다. 이 때 회사와 협의하여 부당하게 납부된 금액이 있는지를 검토하고, 인력개발 관련 법률 등을 참고하여 미납퇴직금을 정확하게 계산하고 회사에게 요구할 수 있습니다. 만약 회사가 미납금을 지급하지 않는다면, 법적 조치를 취할 수 있습니다. 따라서 미납퇴직금을 요청할 때는 관련 법률을 숙지하고 적절히 대응하는 것이 중요합니다.",360,5.56,N
3,나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까,cot,"나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","1. **미납퇴직금 계산 방법**:
   - 미납퇴직금은 근로자가 퇴직 시 받아야 하는 퇴직급여 중에서 아직 받지 못한 부분을 의미합니다. 미납퇴직금을 계산하기 위해선 일반적으로 다음 요소들을 고려합니다:
     - 근로자의 평균임금: 근로자가 근무한 기간 동안의 평균 임금을 확인합니다.
     - 근로자의 근속연수: 근로자가 근무한 연수에 따라 퇴직급여가 계산됩니다.
     - 퇴직급여 계산방법: 각 회사의 규정에 따라 퇴직급여가 계산됩니다.
   - 미납퇴직금은 해당 연월의 월급에 해당하는 금액을 현황하여 계산할 수 있습니다.

2. **미납퇴직금 회수 방법**:
   - 미납퇴직금이 발생했을 경우, 근로자는 회사에게 해당 금액을 회수해야 합니다. 회수 방법은 다음과 같이 진행될 수 있습니다:
     - 회사 내부 절차 확인: 회사의 인사팀이나 회계팀과 상담하여 미납퇴직금에 대한 절차를 확인합니다.
     - 서면 요청: 미납퇴직금이 발생한 이유와 금액 등을 기재한 서면을 회사에 제출합니다.
     - 합의 절차: 회사와 협의를 통해 미납퇴직금의 회수 방법과 일정을 합의합니다.
     - 지급 요청 및 확인: 합의된 방법에 따라 미납퇴직금을 회사로부터 받습니다.
     - 영수증 발급: 미납퇴직금을 받은 후에는 영수증을 받아서 정확한 금액을 확인할 수 있습니다.
     - 미납퇴직금 발생 원인을 파악하여 미래에 해당 문제가 재발하지 않도록 주의해야 합니다.",724,8.46,N
3,나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까,context,질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 나의 미납퇴직금은 어떻게 계산해야할 까? 그리고 미납퇴직금이 있으면 어떤 방식으로 회사한테 받아야할까,"미납퇴직금은 확정기여형 퇴직연금제도를 통해 설정한 부담금을 제대로 납부하지 않은 경우를 말합니다. 이 경우에는 다음과 같이 미납퇴직금을 계산하고, 회사로부터 받아야 할 방법이 있습니다.

1. 미납퇴직금 계산 방법
- 확정기여형 퇴직연금제도를 통해 설정한 사용자는 최소한 가입자의 연간 임금 총액의 1/12에 해당하는 금액을 현금으로 부담해야 합니다. 
- 추가로 부담한 부담금에 대해 가입자가 얻는 세제혜택은 연금저축과 합산하여 연간 300만원 한도로 연말 소득공제를 받을 수 있습니다.

2. 미납퇴직금 회수 방법
- 사용자가 부담금을 납부기한 이내에 부담금을 납부하지 못한 경우, 납부기한을 연장할 수 있습니다.
- 부담금을 납부기한 이후 납부하게 되는 경우에는 지연이자를 부담금에 가산하여 자산관리기관에 납부해야 합니다.
- 사용자는 미납된 부담금에 대한 사실과 연장된 납부기한 등을 가입자에게 통지해야 합니다.

따라서, 미납퇴직금을 계산할 때는 부담금에 대한 정확한 금액을 확인하고, 회사의 규정에 따라 미납금에 대한 처리 및 회수 방법을 따라야 합니다. 해당 조치를 위해 회사와 상의하시거나 인터넷을 통해 관련 정보를 확인하시는 것이 좋습니다.",591,9.17,Y
4,퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?,basic,퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?,"퇴직연금 중도인출 시에는 인출 가능한 금액이 제한될 수 있습니다. 일반적으로 퇴직연금 중도인출은 퇴직연금 적립금의 일정 비율 또는 한도 내에서 가능합니다. 예를 들어, 보유하고 계신 퇴직연금 상품의 규정에 따라서 적립금의 50% 이내 또는 100% 이내에서 중도인출이 가능할 수 있습니다. 또한, 중도인출 가능한 금액과 관련하여 고용노동부령이 정하는 사유와 요건을 충족해야 할 수도 있습니다. 상세한 내용은 해당 퇴직연금 상품의 약관이나 규정을 확인해보시는 것이 좋겠습니다. [근거 참조]",273,6.75,N
4,퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?,role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?","퇴직연금 중도인출 시에는 인출 가능한 금액이 제한됩니다. 퇴직연금 중도인출은 퇴직연금 적립금의 일정한 비율 이내에서 이루어져야 합니다. 법령상의 사유와 요건을 충족하는 경우에만 중도인출이 가능하며, 담보대출 및 중도인출 가능 요건에 맞추어 제한된 금액 내에서만 중도인출이 이루어집니다.그렇기 때문에 실제 가능한 인출금액은 해당 요건과 관련된 법령이나 규정에 근거하여 결정됩니다. ",212,5.03,N
4,퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?,fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?
A:","퇴직연금에서 DC형과 IRP에 따라 중도인출 가능한 금액 제한이 있습니다. DC형 퇴직연금은 중도인출이 가능하나, IRP의 경우에는 추가 납입금(소득공제분)과 운용손익을 고려하여 중도인출이 가능합니다. 하지만 IRP의 중도인출 금액에는 연 1,200만원 이내의 제한이 있습니다.  [근거] 정보에 따르면, DC형은 중도인출 가능하나 IRP에도 추가 납입금과 운용손익을 고려하여 중도인출이 가능하며, 중도인출 금액에는 연 1,200만원 이내의 제한이 있다고 설명되어 있습니다.",265,4.81,N
4,퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?,cot,"퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","퇴직연금 중도인출 시에는 인출 가능한 금액에 제한이 있습니다. 이를 설명하기 위해 다음과 같은 단계별 생각 과정을 제시할 수 있습니다.

1. 첫 번째 단계: 퇴직연금 중도인출의 개념 이해
- 퇴직연금은 퇴직 시에 회사로부터 받게 되는 금액으로, 퇴직 시점에 정해진 규정에 따라 연금으로 받는 것이 일반적입니다.
- 중도인출이란, 퇴직연금이 만기가 되기 전에 일정 조건에 따라 인출하는 것을 말합니다.

2. 두 번째 단계: 중도인출 금액 제한에 대한 이해
- 퇴직연금의 중도인출은 일정한 제한이 있을 수 있습니다. 보통은 퇴직연금 계약서나 관련 법규에 의해 인출 가능한 금액이 한정되어 있습니다.
- 중도인출 가능한 금액의 제한은 퇴직연금을 운용하는 회사나 금융기관이 정한 규정에 따라 결정됩니다.

3. 세 번째 단계: 중도인출 가능한 금액 제한 요인과 영향
- 중도인출 가능한 금액의 제한은 퇴직연금 계약의 유형, 납입액, 계약기간, 중도인출 사유, 중도인출 시 세금 부과 등 다양한 요인에 따라 달라질 수 있습니다.
- 일반적으로 중도인출 시에는 법률적인 제한에 따라 최대 중도인출 가능액이나 최소 중도인출 가능액이 있을 수 있습니다.

위의 단계별로 설명하면서 사용자의 질문에 대한 이해와 답변을 보다 명확하고 체계적으로 전달할 수 있을 것입니다.",647,12.13,N
4,퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?,context,질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 퇴직연금 중도인출 시 인출 가능한 금액 제한이 있어?,"퇴직연금 중도인출 시 인출 가능한 금액은 일반적으로 퇴직연금 적립금의 일정 비율 이내에서 가능합니다. 예를 들어, 확정급여형, 확정기여형, 개인형 퇴직연금제도의 경우 적립금의 100% 이내까지 중도인출이 가능합니다. 단, 각 사업장이나 제도마다 다소 차이가 있을 수 있으므로 관련 법령과 퇴직연금 약관을 확인하여 정확한 인출 가능한 금액 제한을 파악하는 것이 중요합니다.",207,5.53,Y
5,퇴직연금 상품 유형별 장단점을 정리해줘.,basic,퇴직연금 상품 유형별 장단점을 정리해줘.,"퇴직연금 상품은 크게 개인형퇴직연금과 사업장에서 제공하는 퇴직연금(DB, DC)으로 나뉩니다. 이 중에서도 퇴직연금 DC의 장단점을 정리해 드리겠습니다.

퇴직연금 DC의 장단점은 다음과 같습니다.
1. 장점
   - 투자 선택의 폭이 넓어 자유롭게 자산을 관리할 수 있다.
   - 퇴직자가 직접 퇴직연금 자산을 운용하기 때문에 수익률이 높을 수 있다.
   - 변동성이 낮은 안정적인 상품도 선택 가능하다.
   - 개인의 투자성향에 맞게 상품을 선택할 수 있어서 퇴직연금 자금을 효율적으로 운용할 수 있다.

2. 단점
   - 퇴직자가 직접 투자를 해야 하므로 투자 실력과 정보에 따라 위험성이 존재할 수 있다.
   - 시장 변동에 따라 수익이 달라질 수 있어 퇴직연금액이 불안정할 수 있다.
   - 운용에 따른 손실이 발생할 수도 있으며, 잘못된 투자 선택으로 손해를 입을 수도 있다.

퇴직연금 DC는 투자 전략에 따라 다양한 장단점을 가지고 있으므로, 신중한 판단과 충분한 정보 수집이 필요합니다. [근거] 내용을 참고하여 적합한 상품을 선택하시기 바랍니다.",545,6.82,N
5,퇴직연금 상품 유형별 장단점을 정리해줘.,role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
퇴직연금 상품 유형별 장단점을 정리해줘.","퇴직연금 상품은 크게 DB(Defined Benefit) 방식과 DC(Defined Contribution) 방식으로 나눌 수 있습니다.

1. DB(Defined Benefit) 방식
장점:
- 퇴직 시 받는 연금액이 정해져 있어서 안정적인 노후 생활을 계획할 수 있습니다.
- 근로자가 부담하는 부분이 적어서 안정감을 줄 수 있습니다.

단점:
- 기업의 재정 건전성에 의존하므로 기업의 경영 여건이 좋지 않을 경우 불안정할 수 있습니다.
- 개별 근로자의 특성을 반영하지 못해 개인별 맞춤형 서비스가 어려울 수 있습니다.

2. DC(Defined Contribution) 방식
장점:
- 근로자가 직접 퇴직연금 계좌를 통해 투자할 수 있어 자율성이 높습니다.
- 개인의 투자 수익에 따라 연금액이 결정되기 때문에 노후 자금을 더 많이 모을 수 있습니다.

단점:
- 투자실적에 따라 연금액이 변동되기 때문에 안정성이 상대적으로 낮을 수 있습니다.
- 투자에 대한 지식이 필요하며, 투자수행 결과에 대한 책임이 근로자에게 있기 때문에 재정적 위험이 따릅니다.

따라서, DB 방식은 안정적인 연금 수령이 중요하다면 선택할 수 있으며, DC 방식은 더 많은 노후 자금을 모으고자 하는 경우에 적합한 방식입니다. [출처: 근거]",632,7.58,N
5,퇴직연금 상품 유형별 장단점을 정리해줘.,fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 퇴직연금 상품 유형별 장단점을 정리해줘.
A:","퇴직연금 상품 유형별 장단점은 다음과 같습니다.

1. 확정급여형(DB)
- 장점: 퇴직금이 퇴직시점의 평균임금과 근속기간에 따라 결정되어 안정적인 수령이 가능함.
- 단점: 기업이 부담하는 부분이 있어 기업의 재정 건전성에 영향을 줄 수 있음.

2. 확정기여형(DC)
- 장점: 근로자가 스스로 자산을 선정하여 운용할 수 있어 개인의 투자 성향에 맞게 자금을 관리 가능함.
- 단점: 퇴직 시 수령액이 투자 성과에 의해 결정되어 변동성이 있을 수 있음.

3. 개인형퇴직연금(IRP)
- 장점: 개인이 직접 자산을 운용하여 노후 자금을 효율적으로 관리할 수 있음.
- 단점: 투자에 따른 손실 가능성이 존재하고 자신의 투자 능력에 대한 책임이 큼.

위의 장단점을 고려하여 사용자의 투자 성향과 목표에 부합하는 퇴직연금 상품을 선택하는 것이 중요합니다.",423,9.07,N
5,퇴직연금 상품 유형별 장단점을 정리해줘.,cot,"퇴직연금 상품 유형별 장단점을 정리해줘.
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","퇴직연금 상품은 크게 DB(Defined Benefit)와 DC(Defined Contribution)로 나눌 수 있습니다. DC는 퇴직자가 납입한 금액과 그 이로부터 얻은 이익에 대해 퇴직금을 결정하는 반면, DB는 퇴직금이 이미 정해져 있습니다. 여기서는 DC 운용 방법에 따른 상품 유형별 장단점을 설명하겠습니다.

1. 안정추구형
- **장점**: 주식보다는 채권 중심으로 운용되어 안전성이 높고 변동성이 적습니다. 주식 시장 변동에 상대적으로 안정적으로 운용됩니다.
- **단점**: 수익률이 다소 낮을 수 있고 장기적으로 인플레이션 위험에 취약할 수 있습니다.

2. 안정형
- **장점**: 주식, 채권 등 다양한 자산군에 투자하여 리스크를 분산시킵니다. 안정적인 수익을 추구하는 투자자에게 적합합니다.
- **단점**: 안정추구형보다 조금 더 위험을 감수해야 하며, 수익률이 높지 않을 수 있습니다.

3. 위험중립형
- **장점**: 적정한 위험을 감수하면서도 일정 수준의 수익을 추구할 수 있습니다. 주식과 채권의 비율을 적절히 조절하여 운용됩니다.
- **단점**: 높은 위험을 감수하는 공격투자형에 비해 수익률이 낮을 수 있습니다.

4. 적극투자형
- **장점**: 공격적으로 수익을 추구하기 때문에 장기적으로 높은 수익을 기대할 수 있습니다. 주식 비중이 높아 주가 상승에 따른 수익을 얻을 수 있습니다.
- **단점**: 주식 시장의 변동성에 따라 손실이 발생할 수 있고, 짧은 기간 내에 투자금액이 크게 변동할 수 있습니다.

5. 공격투자형
- **장점**: 가장 높은 위험을 감수하면서 높은 수익을 추구할 수 있습니다. 공격적인 투자가 가능하며, 주가 상승을 신속하게 반영할 수 있습니다.
- **단점**: 주식시장의 변동성이 크기 때문에 투자금액에 대한 손실 위험이 존재하며, 단기적인 투자로 인한 손실이 발생할 수 있습니다.

이러한 퇴직연금 상품 유형별 장단점을 고려하여 자신의 투자 목표와 위험 선호도에 맞는 상품을 선택하는 것이 중요합니다. 실질적인 운용 상황과 맞춤형 방법을 살펴보는 것도 도움이 될 것입니다.",1037,10.08,N
