구 분,용 어,설 명
89,밸런스펀드 (balance fund),주식과 공사채의 보유비율을 일정 범위로 유지하면서 투자하는 증권투자신탁
90,법정관리,부도를 내고 파산 위기에 처한 기업이 회생 가능성이 보이는 경우에 법원의 결정에 따라 법원에서 지정한 제3자가 자금을 비롯한 기업활동 전반을 대신 관리하는 제도.
91,법정제(단일률),지급률에서 법정제는 1년에 1개월(30일)분의 평균급여를 지급하는 법정퇴직금을 지급하는 규정
92,변액보험 (variable insurance),"다수의 보험계약자가 납입하는 보험료 중 저축보험료를 따로 분리하여 주식이나 국채, 공채, 사채 등 주로 수익성이 높은 유가증권에 투자하여 그 투자수익을 보험계약자의 환급금(해약환급금 또는 만기환급금)에 반영하는 한편, 투자수익의 성과에 따라 보험금지급사유 발생시에 지급되는 보험금액이 변동되는 보험"
93,변형플랜,"기업의 자금현황 및 실정에 맞는 제도설정을 위해 DB형과 DC형의 형태를 변형하여 기업과 근로자가 모두 만족 할 수 있도록 변형한 제도를 설정하여 노사가 합의 한 제도 형태. 예시 : 임금피크DB, 인센티브DB, 배당형DB, 보장형DB, DC전환Option DB, 최저보장형DC, 승진보상형DC, DC+α, 노사추가부담DC, 장기근속우대DC, 실적연동DC"
94,보장급부채무(VBO),수급권이 법적으로 보장된 기득권이 확보된 채무만을 퇴직급부채무로 보는 개념 : vested benefit obligation
95,보장연금제도,일정 수익률의 보장 등 특정 보호장치가 마련되어 있는 연금제도
96,보장이율,"최저보장형, 승진보상형, CBP에서 사용되는 율로 단일률, 매년변동률, 일정상품에 연동한 율 등이 있어 납입한 금액을 가지고 정한 율로 보장하여 퇴직금을 정하기 위한 이율"
97,보증부연금,"연금수령자의 사망 시까지 연금을 지급하되, 연금수령자가 일정시점 이전에 사망할 경우 당해 연금급여를 사망자의 부양가족에게 지급하는 연금"
98,보충부담금,과거 근무기간 분(과거 근무 채무)에 해당하는 급여 지급을 위하여 일정 기간 나누어 내도록 계산되는 부담금
99,보충부담금 총액 (PSL총액 = PBO=AL),PSL총액 :연금계리방식을 적용하여 부담금산출 시점까지의 과거근무기간 분에 대해 산출 한 총 금액 / PBO(확정급여채무) : PUC방식에 의해 산출 된 금액을 국제회계기준의 “확정급여채무의 현재가치”라고 표현 / AL(퇴직급여부채) : PSL총액의 다른 표기 방식(Accured Liability)
100,보충부담금(AC),과거근무채무(종업원의 과거근무 기간에 대해 이미 퇴직금으로 적립 되어야 할 금액)를 상각하기 위한 부담금으로 초기에 100%를 납입하여 적립 하여야 하지만 기업의 상황에 따라 일정기간을 두고 상각이 가능. 율 ->산출방법 = 보충부담금액 /급여총합계 
101,보험수리적 손익,"연금계리가정과 실제운용 된 수치가 일치하지 않아 발생한 손익 ->연금계리가정이란 승급률, 할인율,퇴직률,Base_Up 등 퇴직급여채무 산출 시 적용한 율을 말함"
102,복리(Compound interest),투자원금과 그 이자 및 이자에 대한 이자까지 고려한 이자율 또는 그렇게 계산된 이자나 이자계산방식
103,부과방식 (pay as you go : PAYG),현재 근로세대가 퇴직 후 받게 될 연금급여의 재원을 미래의 근로세대가 부담할 것이라는 전제 하에서 현재의 근로세대가 현재 퇴직세대의 연금급여 지출에 필요한 재원을 당장 부담하는 방법을 정의하는 것
104,부담금 (contribution),사용자나 가입자가 연금제도에 납입하는 납부금. 퇴직연금에서는 일반적으로 퇴직급여 재원 마련을 위해 사용자가 정기적으로 적립하여야 하는 금액을 말함
105,부담금기여율,기준급여에 대한 부담금의 비율
106,부담금기준,부담금 산출에 기준이 되는 임금수준
107,부담금납입유예기간,적립금 과다 등의 사유로 인해 연금재정에 대한 부담금 기여의무가 한시적으로 유예되는 기간
108,부담금률,부담금을 납입하는 율을 기준급여에 비례하여 나타낸 율
109,부담금미납,잔액부족 등의 이유로 원래 납부되어야 하는 부담금이 수납되지 못한 상태
110,"부담금산출이율(=시산이율,할인율)",확정급여형(DB) 퇴직연금에서 장래의 퇴직급여 예상액을 현재 가치로 환산하여 부담금 산출할 때 적용하는 이율. 기준이율 ± 1%
111,부담금환급,납부된 부담금에 상당하는 금액을 사용자 등에 반환하는 행위
112,분산투자,"투자시 기대투자 수익을 올리는데 있어서 투자위험(투자Risk)을 작게 하기 위해서 여러 종목에 나누어 분산시킴으로써 개개의 위험요소에 의한 부담을 서로 상쇄, 완화할 수 있도록 투자하는 가장 보편적인 투자 위험을 줄이는 투자방법"
113,불완전적립,연금자산이 연금부채에 미달하여 연금펀드에 연금계리적자가 발생한 상황 
114,비계속기준부채,퇴직금추계액에 해당하는 금액
115,사망률,퇴직연금제도의 설립 시 사용되는 사망률
116,사망일시금,가입자 등이 사망한 경우에 유족 등으로부터 재정청구에 기초하여 지급되는 일시금
117,사모펀드(private equity fund),소수의 투자자로부터 모은 자금을 주식·채권 등에 운용하는 펀드
118,사업결합,사업의 결합으로 인해 퇴직급여채무(PBO)가 증감할 때 발생한 증감액
119,사업년도 방식,"가입일자를 기준으로 1차년도만 재정결산일을 기준으로 잔여 개월 수만큼 직선보간 하고 차년도는 가입년도와 동일 (단,과거근무채무 잔여액은 상각 마지막년도 이후로 이월 함) "
120,사업자부담 퇴직급여지급액,(퇴직금발생액×(1-적립비율))한 금액 -> 적립비율 방식에서만 사용
121,사외적립비율,기존에 퇴직보험(신탁)에 납입하여 사외적립 된 비율(퇴직보험(신탁) 가입 시 목표적립비율 산정)
122,사외적립자산 공정가치,사외에 적립된 자산(연금자산)의 공정 가치 ->(사외적립자산-퇴직금지급액/2) × 기대수익률 × 해당기간
123,사외적립자산의 실제수익,사외적립자산에서 발생한 실제수익
124,사용(범위한계 이연),보험수리적 이익 및 손실이 제도자산과 확정급여채무 중 큰 금액의 10%을 초과하는 경우 근로자들의 예상 평균잔존 근무년수에 걸쳐 이연하여 인식하는 방식
125,사용자,"기업 또는 사업경영 담당자, 기타 근로자에 관한 사항에 대하여 기업을 위하여 행위하는 자"
126,사적연금제도,정부 외의 기구에 의해 관리되는 연금제도 사적연금제도는 사기업의 사용자나 사적연금펀드 등에 의해 관리될 수도 있음. 또한 사적연금제도는 공적연금제도를 대체하기도 하며 일부 국가에서는 공기업의 근로자를 대상으로 하기도 함
127,산업연금펀드,연금급여의 지급을 위하여 동일 산업에 속하는 복수의 사용자와 근로자를 위해 운영되는 펀드
128,"산출기준일(=시산일,제도발족일)",제도 설립하고자 하는 예정일자로서 계약일에 해당하는 일자를 입력(계약일(신규일)이 대부분)
129,일시상각,과거근무채무를 일시에 납입하는 방식.
130,균등상각,과거근무채무를 일정기간을 정하여 해당기간 동안 균등하게 납입하는 방법.
131,정률상각,과거근무채무에 15/100 이상 범위에서 정한 일정비율을 곱하여 납입하는 방법
132,탄력상각,균등상각 방법으로 계산된 금액(보충부담금 하한)과 과거근무채무총액(보충부담금 상한) 범위에서 매년 상각액을 탄력적으로 적용하는 방법
133,연차별상각,DC형에서 일시에 과거근무채무를 전체 납입하기가 어려운 상태일 때 매년 1년씩 가입기간을 확장하는 형태로 일정기간이 되면 과거기간 전체를 가입처리 하는 방법 
134,상계부담금,"연금자산이 적립금을 초과하여 적립된 경우 다음에 납입 할 금액에서 상계하는 금액 산출금액 = 연금자산 - MAX(계속기준적립금, 비계속기준적립금)"
135,상시근로자,해당 사업 또는 사업장에서 법적용 사유 발생일 전 1개월(이하 ‘산정기간’이라 한다) 동안 사용한 근로자의 연인원을 같은 기간 중의 가동 일수로 나누어 산정
136,상품제공기관,퇴직연금 적립금 운용을 위한 상품의 운용을 담당하는 기관
137,생명표,"성별, 연령별로 사망률을 나타내는 표이며, 어느 연령층의 어느 수에 대하여 생존자가 0명이 될 때까지의 각 연령의 사망, 생존의 상태를 통계로 나타낸 표. 성별에 1. 남, 2. 여로 구분함"
138,성장주,"미래 성장 가능성이 높은 주식으로 매출액과 이익성장율이 예상되는 주식, 동종 업계에서 시장점유율 등 경제적 지위가 우월하고 신제품 개발능력이 우수하며 매출액, 이익성장률이 예상되는 기업의 주식"
139,세제혜택,"세법상 세금을 감면해 주거나 세율을 낮게 책정하여 조세부담을 경감시켜 실질소득이 증가된 것과 같은 효과를 주는 것. 퇴직연금 세제혜택의 기본형태는 부담금 비과세, 투자수익 비과세, 퇴직급여 과세임"
140,소급형,누진제를 지급하는 규정에서 일정기간이 되면 과거기간에 대해서도 지급률을 소급하여 적용하는 규정
141,소득대체율(Income replacement ratio),제도가입기간 중 평균소득을 현재가치로 환산한 금액대비 연금지급액을 말하는데 일반적으로 안락한 노후보장을 위한 소득대체율은 65~70%임
142,수급권,퇴직급여를 받을 수 있는 법적 근거 또는 권리자체. “수급자격”이라고도 함
143,수리채무 (계리적 연금채무),"계리적 연금채무(actuarial liability)란 계리인이 적립된 연금자산에 대응하여 해당 연금기금의 계산기초와 기금적립방식을 이용하여 산정한 바람직한 수준의 부채. 이렇게 산정된 부채를 연금수리에서는 ""표준부채"" 라고도 함. 생명보험의 순보험료식 책임준비금과 유사한 개념."
144,수익률,자산을 일정 기간 보유함으로써 얻게 된 소득 
145,수익자,"투자신탁의 수익권을 보유하는 자, 자신의 투자분에 대하여 수익 및 매매 운용 이익의 분배청구권을 가지며 신탁기간만기 후 원금의 상환을 받음. ex) 퇴직연금의 가입자(종업원)"
146,수익증권=>집합투자증권,"투자자가 투자신탁회사와의 신탁계약에 의하여 일정액의 재산 운용을 신탁한 경우, 신탁 원금과 그에 따르는 발생 수익을 받을 권리. 원금 또는 신탁재산의 운용에서 발생하는 이익을 분배받을 권리를 표시한 유가증권"
147,수탁자,신탁 업무를 수행하도록 지명된 개인 또는 회사. ex) 신탁 은행
148,수환,"DC 및 IRA에 있어, IRA와 DC, DC와 DC 사이에 개인별 자산 및 가입자에 관한 퇴직연금 관련 기록이 이동하는 것을 받는 행위"
149,순수익률,일정기간 동안 특정 자산 또는 포트폴리오로부터 각종 수수료를 공제한 후 얻게 되는 수익률
150,순자산액(Net asset value),펀드의 자산총액에서 운용수수료 및 각종 비용을 공제하고 산출한 금액으로 일반적으로 투자자가 펀드를 되팔 때 받는 가격
151,스위칭(switching),"퇴직연금 자산 잔고의 운용상품 종류 및 운용비율을 변경하는 것. 즉, 운용되고 있는 상품(Old money)에 대해 운용방법을 변경하는 것"
152,승급률,"특정연령에 해당하는 연령의 기준급여를 기준으로 각 해당연령의 기준급여를 나누어 급여의 변동률을 표시. 승급률은 종업원이 신입사원으로 입사하여 정년까지 근무하면서 진급 또는 근속년수의 증가에 따라 급여상승 정도를 율로 표현한 값. 단, 노사합의에 의한 급여상승(Base-Up)율은 포함 되어 있지 않음"
153,시산,퇴직연금규약과 예정기초율을 토대로 퇴직급여를 예측하고 이렇게 산출된 퇴직급여의 지급을 보장하기 위해 장기적으로 안정적이며 평준화된 부담금을 산출하는 일련의 과정
154,시산 예정 이율,예정 이율중 부담금 산출시 적용되는 이율 (할인율) 임. 부담금 수준 및 장래 책임준비금을 결정 ex) 5%
155,시장가치,자산이 공개시장에서 교환되는 가격
156,신용평가기관,대출 및 신용카드 사용 등 각종 금융활동으로 인해 발생한 개인 및 기업/국가의 신용점수를 토대로 개인 및 기업/국가의 신용상태를 관리하고 유지하는 기관
157,신주인수권부사채,발행회사의 주식을 매입할 수 있는 권리가 부여된 사채
158,신탁(trust),자금 또는 자산 위탁자와 이를 위탁 받아 운용하는 수탁자와의 특별한 신임관계(계약)에 의해 위탁자가 자신이 보유한 특정 재산 또는 자금을 수탁자에게 이전하거나 또는 처분을 한 뒤 수탁자로 하여금 수익자의 이익 또는 특정의 목적을 위하여 그 재산권을 관리 처분하게 하는 관계. 지명된 특정인(수탁인)이 다른 사람(신탁인)을 대신하여 자산을 보유할 수 있도록 하는 법적 기구임
159,신탁관리인,불특정 또는 미존재의 수익자를 위해 신탁의 이익을 관리하는 사람.
160,신탁보수,위탁자 및 수탁자에게 신탁업무 수행의 대가로서 신탁 재산에서 지불되는 보수. 신탁보수는 위탁자 보수와 수탁자 보수로 나누어지며 그 배분은 양자의 협의에 따라 결정
161,실적배당형 상품,운용결과에 따라 실적(이익)을 배당 받는 형태의 상품. 수익성이 높다는 장점과 함께 상품 운용의 결과에 대한 책임을 진다는 점 때문에 원금이 보장되지 못한다는 단점이 있음
162,연간순부담금,"연간 납입하는 표준부담금 , 보충부담금의 합계(수수료를 제외한 금액)"
163,연간퇴직급여 지급예상액,"정년 / 중도 / 사망 연간퇴직금지금액은 예정퇴직률을 근거로 퇴직자 및 퇴직일시금을 산정하여 경과년도별로 예측. 정년, 중도, 사망퇴직의 퇴직일시금 지급액은 시산에 사용한 퇴직금지급률을 사용하여 산출"
164,연금,"연금수령자에게 종신 또는 일정(확정)기간 동안 (매월, 분기별, 반기별, 연도별) 고정 또는 변동방식의 급여지급을 보장하는 일종의 재무계약으로서 급여의 지급은 납입기간 종료 후 곧 바로 시작되거나 사전에 정해진 특정연령 도달시점에서 시작하여 일정 기간 또는 종신에 걸쳐서 해마다 지급"
165,연금계리,"임금상승률, 할인율, 퇴직률 등의 가정을 사용하여 장래에 지급되어질 예상 퇴직급여를 산출해내고, 이를 바탕으로 퇴직부채와 부담금(보험료)을 산출하는 것"
166,연금계리가정,"수명, 임금, 물가상승, 투자수익 변동 등 연금계리사가 연금계리평가를 위해 산식에 적용하는 여러 추정치"
167,연금계리부채,연금계리가정에 기초하여 가입자에게 지급되어야 할 연금급여액의 현재가치
168,연금계리사,재무적 관점에서 연금제도의 지급여력을 파악하기 위해 일반적으로 인정되는 연금계리 및 연금회계기준에 따라 현재와 미래의 연금부채를 평가하고 이에 대한 책임을 부담하는 개인 또는 법인
169,연금계리손실,연금자산의 연금계리가치가 연금부채의 연금계리가치보다 적은 상황
